id_loan,loan_intent,loan_grade,loan_amount,loan_int_rate,loan_status,loan_percent_income,fk_cp
287,DEBTCONSOLIDATION,D,25000,15.58,1,0.28,287
288,MEDICAL,B,25000,10.99,1,0.28,288
289,VENTURE,D,25000,14.96,1,0.28,289
290,HOMEIMPROVEMENT,D,1750,15.31,0,0.12,290
291,VENTURE,D,25000,15.65,1,0.28,291
292,VENTURE,B,25000,9.33,0,0.25,292
293,PERSONAL,C,3600,13.47,1,0.24,293
294,PERSONAL,B,25000,10.36,0,0.24,294
295,HOMEIMPROVEMENT,E,25000,16.77,1,0.27,295
296,DEBTCONSOLIDATION,D,25000,14.59,1,0.27,296
297,VENTURE,C,3500,11.91,0,0.02,297
298,EDUCATION,A,7200,8.38,0,0.04,298
299,VENTURE,B,9000,10.59,0,0.05,299
300,DEBTCONSOLIDATION,C,8800,14.27,0,0.05,300
301,DEBTCONSOLIDATION,B,12000,12.53,0,0.07,301
302,DEBTCONSOLIDATION,E,25000,16,1,0.15,302
303,VENTURE,B,10000,11.71,0,0.06,303
304,HOMEIMPROVEMENT,C,3175,11.54,1,0.21,304
305,HOMEIMPROVEMENT,E,25000,15.68,1,0.26,305
306,EDUCATION,B,1500,10.59,0,0.1,306
307,HOMEIMPROVEMENT,D,25000,12.61,1,0.26,307
308,PERSONAL,C,25000,,0,0.23,308
309,PERSONAL,A,2800,8.49,1,0.18,309
310,PERSONAL,D,30000,17.27,1,0.19,310
311,DEBTCONSOLIDATION,A,18000,8.9,0,0.1,311
312,MEDICAL,B,10000,11.11,0,0.06,312
313,HOMEIMPROVEMENT,D,25000,14.59,1,0.16,313
314,VENTURE,B,13000,12.42,0,0.08,314
315,MEDICAL,D,25000,,1,0.26,315
316,HOMEIMPROVEMENT,D,25000,15.7,0,0.23,316
317,HOMEIMPROVEMENT,B,2500,12.53,1,0.16,317
318,MEDICAL,D,5000,16.49,1,0.03,318
319,EDUCATION,A,20000,7.49,0,0.12,319
320,DEBTCONSOLIDATION,D,25000,14.96,1,0.25,320
321,MEDICAL,C,25000,12.73,0,0.22,321
322,EDUCATION,B,25000,10.65,0,0.21,322
323,MEDICAL,B,25000,10.74,0,0.21,323
324,EDUCATION,B,25000,9.99,0,0.21,324
325,MEDICAL,D,25000,15.33,1,0.23,325
326,VENTURE,A,1000,7.29,0,0.06,326
327,PERSONAL,D,25000,15.05,1,0.23,327
328,PERSONAL,B,25000,10.75,0,0.19,328
329,EDUCATION,D,25000,16.02,0,0.19,329
330,VENTURE,B,25000,11.49,0,0.19,330
331,EDUCATION,B,20000,12.53,0,0.12,331
332,VENTURE,C,12000,13.57,0,0.07,332
333,PERSONAL,B,14000,11.14,0,0.08,333
334,MEDICAL,C,24250,12.87,0,0.14,334
335,EDUCATION,B,20000,11.58,0,0.12,335
336,HOMEIMPROVEMENT,B,1800,11.12,0,0.01,336
337,PERSONAL,B,35000,10.65,0,0.21,337
338,DEBTCONSOLIDATION,B,25000,10.37,0,0.19,338
339,HOMEIMPROVEMENT,A,3300,6.39,1,0.21,339
340,PERSONAL,D,25000,16.07,0,0.19,340
341,MEDICAL,B,25000,10.62,0,0.19,341
342,VENTURE,F,3200,18.09,1,0.21,342
343,EDUCATION,B,25000,11.36,0,0.19,343
344,DEBTCONSOLIDATION,B,25000,12.53,0,0.18,344
345,EDUCATION,B,25000,9.99,0,0.17,345
346,EDUCATION,B,25000,10.36,0,0.17,346
347,EDUCATION,A,9600,5.99,0,0.06,347
348,DEBTCONSOLIDATION,D,24000,15.62,1,0.16,348
349,PERSONAL,B,20000,10.37,0,0.12,349
350,HOMEIMPROVEMENT,F,25000,19.74,0,0.15,350
351,EDUCATION,A,20000,6.91,0,0.12,351
352,MEDICAL,A,6000,7.9,1,0.38,352
353,DEBTCONSOLIDATION,C,2275,13.06,0,0.14,353
354,PERSONAL,A,2000,6.39,0,0.13,354
355,DEBTCONSOLIDATION,E,25000,14.93,1,0.17,355
356,MEDICAL,C,5600,12.84,1,0.35,356
357,VENTURE,E,3625,17.14,1,0.23,357
358,VENTURE,A,5500,7.14,1,0.34,358
359,PERSONAL,A,25000,8.9,0,0.14,359
360,PERSONAL,B,2000,12.42,0,0.12,360
361,HOMEIMPROVEMENT,C,25000,12.68,0,0.14,361
362,PERSONAL,C,25000,11.03,0,0.15,362
363,VENTURE,A,30000,7.9,0,0.19,363
364,MEDICAL,B,35000,10.65,0,0.22,364
365,VENTURE,B,25000,11.86,0,0.11,365
366,PERSONAL,A,5000,8.94,1,0.3,366
367,VENTURE,B,4375,9.63,1,0.27,367
368,PERSONAL,C,24750,14.22,1,0.5,368
369,DEBTCONSOLIDATION,B,24750,9.33,1,0.41,369
370,MEDICAL,C,24500,13.85,0,0.29,370
371,EDUCATION,B,2000,10.65,0,0.12,371
372,MEDICAL,B,24500,11.46,0,0.27,372
373,PERSONAL,A,35000,7.66,0,0.22,373
374,VENTURE,E,12000,16.77,0,0.07,374
375,PERSONAL,B,12000,9.63,0,0.07,375
376,PERSONAL,C,25000,12.23,0,0.16,376
377,MEDICAL,D,10000,14.09,1,0.07,377
378,PERSONAL,C,24250,13.98,1,0.45,378
379,EDUCATION,B,24250,10.62,1,0.39,379
380,DEBTCONSOLIDATION,A,3900,,1,0.23,380
381,PERSONAL,E,24250,17.56,1,0.35,381
382,MEDICAL,D,24250,14.96,1,0.37,382
383,DEBTCONSOLIDATION,D,24250,15.65,1,0.33,383
384,MEDICAL,D,24250,15.7,1,0.31,384
385,VENTURE,B,24250,12.53,0,0.27,385
386,HOMEIMPROVEMENT,E,24250,17.56,1,0.31,386
387,PERSONAL,C,24250,12.87,0,0.24,387
388,PERSONAL,D,24250,15.7,0,0.24,388
389,EDUCATION,A,9000,,0,0.06,389
390,VENTURE,B,15000,11.14,0,0.09,390
391,VENTURE,D,20000,16,0,0.13,391
392,EDUCATION,D,25000,15.65,0,0.16,392
393,DEBTCONSOLIDATION,C,13750,,0,0.09,393
394,VENTURE,D,15250,15.31,0,0.1,394
395,VENTURE,C,20000,13.47,0,0.13,395
396,HOMEIMPROVEMENT,C,4750,13.85,1,0.28,396
397,PERSONAL,D,24250,,0,0.22,397
398,VENTURE,B,6000,10.39,1,0.36,398
399,HOMEIMPROVEMENT,B,24250,11.36,0,0.21,399
400,EDUCATION,B,24250,11.83,0,0.17,400
401,EDUCATION,B,24250,12.53,0,0.08,401
402,HOMEIMPROVEMENT,D,24150,14.96,1,0.22,402
403,DEBTCONSOLIDATION,C,24000,13.85,1,0.56,403
404,VENTURE,B,24000,11.58,1,0.51,404
405,VENTURE,D,24000,16.29,1,0.5,405
406,MEDICAL,A,24000,,1,0.5,406
407,EDUCATION,D,24000,16.29,1,0.53,407
408,PERSONAL,B,24000,10.74,1,0.46,408
409,EDUCATION,C,2250,15.27,0,0.13,409
410,PERSONAL,F,24000,17.8,1,0.51,410
411,VENTURE,B,1000,11.36,0,0.06,411
412,MEDICAL,E,24000,17.56,1,0.49,412
413,PERSONAL,A,24000,7.9,1,0.4,413
414,PERSONAL,B,24000,10.99,1,0.4,414
415,PERSONAL,A,24000,7.29,1,0.4,415
416,MEDICAL,B,24000,10.75,1,0.4,416
417,DEBTCONSOLIDATION,A,24000,7.9,1,0.39,417
418,EDUCATION,D,24000,14.84,1,0.38,418
419,DEBTCONSOLIDATION,A,24000,,1,0.37,419
420,EDUCATION,C,4975,,1,0.28,420
421,DEBTCONSOLIDATION,E,24000,19.69,1,0.41,421
422,VENTURE,A,24000,,1,0.36,422
423,VENTURE,D,24000,14.96,1,0.4,423
424,EDUCATION,A,24000,6.99,1,0.36,424
425,PERSONAL,E,24000,16.45,1,0.39,425
426,EDUCATION,B,24000,10.99,1,0.34,426
427,DEBTCONSOLIDATION,B,24000,10.99,1,0.32,427
428,PERSONAL,A,3000,7.9,1,0.17,428
429,EDUCATION,B,24000,12.69,1,0.32,429
430,MEDICAL,B,24000,10.37,1,0.32,430
431,HOMEIMPROVEMENT,C,24000,,1,0.32,431
432,DEBTCONSOLIDATION,F,24000,15.83,1,0.35,432
433,PERSONAL,C,24000,13.92,1,0.31,433
434,VENTURE,B,2000,11.49,0,0.11,434
435,MEDICAL,B,24000,10.25,0,0.3,435
436,HOMEIMPROVEMENT,A,3500,7.49,1,0.19,436
437,EDUCATION,A,4000,5.99,1,0.22,437
438,PERSONAL,D,24000,12.92,1,0.32,438
439,PERSONAL,B,24000,11.58,0,0.27,439
440,EDUCATION,A,24000,8.9,0,0.25,440
441,DEBTCONSOLIDATION,E,24000,19.69,1,0.29,441
442,VENTURE,A,24000,6.54,0,0.25,442
443,HOMEIMPROVEMENT,D,4900,14.54,1,0.27,443
444,EDUCATION,B,5000,11.11,1,0.28,444
445,PERSONAL,C,24000,12.73,0,0.24,445
446,VENTURE,D,24000,15.62,0,0.22,446
447,HOMEIMPROVEMENT,A,6250,6.54,1,0.35,447
448,DEBTCONSOLIDATION,F,24000,,1,0.24,448
449,DEBTCONSOLIDATION,G,24000,20.03,1,0.23,449
450,EDUCATION,B,24000,9.91,0,0.2,450
451,VENTURE,B,24000,12.69,0,0.2,451
452,EDUCATION,G,24000,20.16,1,0.22,452
453,PERSONAL,D,24000,16.49,0,0.19,453
454,MEDICAL,D,2500,15.95,1,0.14,454
455,DEBTCONSOLIDATION,B,24000,11.49,0,0.18,455
456,PERSONAL,B,24000,10.99,0,0.18,456
457,HOMEIMPROVEMENT,C,24000,13.79,0,0.18,457
458,MEDICAL,G,24000,20.03,1,0.18,458
459,EDUCATION,A,24000,7.49,0,0.16,459
460,DEBTCONSOLIDATION,D,24000,16,1,0.17,460
461,PERSONAL,A,13000,7.88,1,0.72,461
462,VENTURE,B,6250,10.62,1,0.35,462
463,DEBTCONSOLIDATION,B,24000,10.99,0,0.15,463
464,EDUCATION,F,24000,18.3,1,0.16,464
465,DEBTCONSOLIDATION,C,24000,,0,0.14,465
466,PERSONAL,B,2500,11.36,0,0.14,466
467,HOMEIMPROVEMENT,B,23975,,1,0.55,467
468,MEDICAL,C,23750,13.47,0,0.2,468
469,PERSONAL,B,23600,11.89,1,0.43,469
470,DEBTCONSOLIDATION,B,10000,12.18,1,0.56,470
471,DEBTCONSOLIDATION,C,23600,13.49,0,0.23,471
472,PERSONAL,E,23575,14.5,1,0.31,472
473,MEDICAL,C,4000,,1,0.22,473
474,MEDICAL,D,5400,15.31,1,0.3,474
475,MEDICAL,B,4000,,1,0.22,475
476,VENTURE,B,3375,,1,0.19,476
477,VENTURE,A,23400,7.49,1,0.35,477
478,PERSONAL,C,23000,,1,0.53,478
479,EDUCATION,B,23000,,1,0.41,479
480,VENTURE,B,23000,12.18,1,0.38,480
481,VENTURE,C,1200,11.34,0,0.07,481
482,EDUCATION,B,23000,9.91,1,0.36,482
483,HOMEIMPROVEMENT,B,23000,11.99,1,0.35,483
484,EDUCATION,B,23000,9.62,1,0.34,484
485,DEBTCONSOLIDATION,B,3000,9.96,1,0.17,485
486,VENTURE,C,23000,,0,0.29,486
487,VENTURE,D,23000,14.54,1,0.26,487
488,MEDICAL,B,22750,11.36,1,0.39,488
489,DEBTCONSOLIDATION,C,22500,14.27,1,0.32,489
490,HOMEIMPROVEMENT,B,3000,11.99,1,0.16,490
491,EDUCATION,F,22500,18.99,1,0.32,491
492,VENTURE,E,22400,16.7,1,0.31,492
493,PERSONAL,A,5000,9.32,1,0.27,493
494,DEBTCONSOLIDATION,B,22250,12.69,1,0.64,494
495,HOMEIMPROVEMENT,C,22000,13.11,1,0.51,495
496,PERSONAL,B,22000,10.74,1,0.42,496
497,PERSONAL,D,4200,14.11,1,0.22,497
498,EDUCATION,B,22000,9.63,1,0.39,498
499,MEDICAL,C,22000,14.65,1,0.38,499
500,DEBTCONSOLIDATION,B,22000,10.25,1,0.37,500
501,VENTURE,C,22000,14.26,1,0.37,501
502,EDUCATION,B,3000,9.91,1,0.16,502
503,MEDICAL,E,22000,17.19,1,0.39,503
504,EDUCATION,B,22000,11.36,1,0.31,504
505,EDUCATION,F,22000,,1,0.33,505
506,DEBTCONSOLIDATION,B,22000,10.59,0,0.3,506
507,EDUCATION,B,22000,9.25,0,0.29,507
508,MEDICAL,A,3625,8.49,1,0.19,508
